"longitude","latitude","whatThreeWords","seedPacketColor","seedPacketNumber"
"-4.152832031250001","50.377327868389706","guards.soap.deed","seedPacket1",""
"-4.168968200683595","50.39232335474891","tilt.flips.dinner","seedPacket1",""
"-4.118328094482423","50.39035341541949","fines.proper.older","seedPacket3",""
"-4.199523925781251","50.37316769640988","chop.stud.loans","seedPacket1",""
"-4.165534973144532","50.40468832643344","nuns.splice.dish","seedPacket1",""
"-4.2457008361816415","50.395059245816874","hurray.milky.riverboat","seedPacket1",""
"-4.191970825195313","50.40129648711394","shots.swear.sang","seedPacket1",""
"-4.168682100134903","50.38247283961873","areas.precautions.ranks","seedPacket1",""
"-4.082679750281387","50.4203314155823","cute.funded.quench","seedPacket4",""
"-4.157638549804688","50.43155915991183","bottle.this.lost","seedPacket1",""
"-4.063739776611329","50.3768899727292","","seedPacket1",""
"-4.212341314705555","50.32186543877517","encoder.shop.oxidation","seedPacket1",""
